year,station_id,longitude,latitude,city_id,city_name_chn,city_name_eng,province_code,province_name,prov_assign_method,nearest_city,distance_to_city_km
1994,S000001,117.212,39.1238,2.0,天津市,Tianjin,HENAN,河南省,assigned_by_nearest_city,DOUSI,1.0070021570135397
1994,S000002,117.6914,38.8928,,,,SHANXI,山西省,assigned_by_nearest_city,XINCHENG,17.037644842189614
1994,S000003,129.2872,44.5873,,,,HEILONGJIANG,黑龙江省,assigned_by_nearest_city,HAILIN,7.425981761350727
1994,S000004,129.6071,44.5801,64.0,牡丹江市,Mudanjiang,HEILONGJIANG,黑龙江省,assigned_by_nearest_city,MUDANJIANG,3.7776022744166284
1994,S000005,125.6588,42.5473,,,,JILIN,吉林省,assigned_by_nearest_city,SHUGUANG,8.43868880252491
1994,S000006,125.6947,42.5662,,,,JILIN,吉林省,assigned_by_nearest_city,SHUGUANG,10.353804478314183
1994,S000007,125.709,42.5738,,,,JILIN,吉林省,assigned_by_nearest_city,SHUGUANG,11.35764651516229
1994,S000008,126.1715,42.764,,,,JIANGXI,江西省,assigned_by_nearest_city,TUANLIN,4.911615923201972
1994,S000009,126.0825,43.2951,,,,JILIN,吉林省,assigned_by_nearest_city,YANTONGSHAN,6.395685756739033
1994,S000010,126.5525,43.8721,49.0,吉林市,Jilin,JILIN,吉林省,assigned_by_nearest_city,MAAN,5.669672939451278
1994,S000011,121.7883,39.0993,,,,LIAONING,辽宁省,assigned_by_nearest_city,DAHEIGANGZI,0.4911078749660738
1994,S000012,122.9718,39.7042,,,,LIAONING,辽宁省,assigned_by_nearest_city,ZHUANGHE,2.5853507304824954
1994,S000013,130.3219,47.3857,58.0,鹤岗市,Hegang,HEILONGJIANG,黑龙江省,assigned_by_nearest_city,HEGANG,4.3621178374406595
1994,S000014,130.5827,47.4523,,,,HEILONGJIANG,黑龙江省,assigned_by_nearest_city,FENGXIANG,19.899973867780552
1994,S000015,122.8928,45.5753,54.0,白城市,Baicheng,JILIN,吉林省,assigned_by_nearest_city,BAICHENG,6.0991488159672524
1994,S000016,123.2235,44.3878,,,,JILIN,吉林省,assigned_by_nearest_city,TAIPINGCHUAN,3.0528662203097547
1994,S000017,123.2226,44.3832,,,,JILIN,吉林省,assigned_by_nearest_city,TAIPINGCHUAN,3.2009968172622827
1994,S000018,123.2441,44.326,,,,JILIN,吉林省,assigned_by_nearest_city,TAIPINGCHUAN,9.110320546492975
1994,S000019,123.2505,44.3254,,,,JILIN,吉林省,assigned_by_nearest_city,TAIPINGCHUAN,9.428926468137732
1994,S000020,123.599,43.6572,,,,JILIN,吉林省,assigned_by_nearest_city,WOHU,7.083305315849382
1994,S000021,122.9225,45.6281,54.0,白城市,Baicheng,JILIN,吉林省,assigned_by_nearest_city,BAICHENG,5.603053822538534
1994,S000022,123.9445,47.1126,,,,HEILONGJIANG,黑龙江省,assigned_by_nearest_city,YANTONGTUN,20.692259276962723
1994,S000023,123.4864,43.5395,,,,JILIN,吉林省,assigned_by_nearest_city,XIAOYAN,5.443132923397172
1994,S000024,124.3698,43.1567,50.0,四平市,Siping,LIAONING,辽宁省,assigned_by_nearest_city,LAOSIPING,9.751477555989478
1994,S000025,129.6147,44.5837,64.0,牡丹江市,Mudanjiang,HEILONGJIANG,黑龙江省,assigned_by_nearest_city,MUDANJIANG,3.852093210887984
1994,S000026,130.5473,44.6874,,,,HEILONGJIANG,黑龙江省,assigned_by_nearest_city,MULENG,25.79509720308367
1994,S000027,118.8188,32.0134,67.0,南京市,Nanjing,SHANDONG,山东省,assigned_by_nearest_city,HONGHUA,2.8611196069517195
1994,S000028,121.4936,31.1937,66.0,上海市,Shanghai,SHANDONG,山东省,assigned_by_nearest_city,SINAN,2.8726505583829107
1994,S000029,113.0986,25.2284,,,,SHAANXI,陕西省,assigned_by_nearest_city,YUNYAN,11.068580346927725
1994,S000030,113.2845,25.2138,,,,GUANGDONG,广东省,assigned_by_nearest_city,CHANGLAI,17.627074525049164
1994,S000031,126.5633,48.1829,,,,HEILONGJIANG,黑龙江省,assigned_by_nearest_city,YUGANG,14.811641313993722
1994,S000032,127.11,46.674,,,,HEILONGJIANG,黑龙江省,assigned_by_nearest_city,SUIHUA,10.332886188333898
1994,S000033,126.7023,46.0374,,,,HEILONGJIANG,黑龙江省,assigned_by_nearest_city,CHANGLING,5.48390475109723
1994,S000034,127.1701,46.513,,,,HEILONGJIANG,黑龙江省,assigned_by_nearest_city,WANFA,5.594458943466029
1994,S000035,126.5391,48.2795,,,,HEILONGJIANG,黑龙江省,assigned_by_nearest_city,ERJING,8.430382195768212
1994,S000036,127.4061,49.5312,,,,HEILONGJIANG,黑龙江省,assigned_by_nearest_city,HEIHE,79.886333271321
1994,S000037,129.4466,42.7639,,,,JILIN,吉林省,assigned_by_nearest_city,YANJI,16.827756881013784
1994,S000038,129.7359,42.6993,,,,JILIN,吉林省,assigned_by_nearest_city,KAISHANTUN,2.347437758467767
1994,S000039,123.7179,47.2598,56.0,齐齐哈尔市,Qiqihar,HEILONGJIANG,黑龙江省,assigned_by_nearest_city,QIQIHAER,18.40033482588875
1994,S000040,124.0831,47.3551,56.0,齐齐哈尔市,Qiqihar,HEILONGJIANG,黑龙江省,assigned_by_nearest_city,QIQIHAER,12.423222615259105
1994,S000041,123.8773,47.1795,56.0,齐齐哈尔市,Qiqihar,HEILONGJIANG,黑龙江省,assigned_by_nearest_city,QIQIHAER,19.685453745645958
1994,S000042,124.085,47.3317,56.0,齐齐哈尔市,Qiqihar,HEILONGJIANG,黑龙江省,assigned_by_nearest_city,QIQIHAER,12.818663067665822
1994,S000043,124.0907,47.359,56.0,齐齐哈尔市,Qiqihar,HEILONGJIANG,黑龙江省,assigned_by_nearest_city,QIQIHAER,13.00525867374083
1994,S000044,124.5777,47.8519,,,,HEILONGJIANG,黑龙江省,assigned_by_nearest_city,FUYU,11.148079901446192
1994,S000045,124.5844,47.8512,,,,HEILONGJIANG,黑龙江省,assigned_by_nearest_city,FUYU,11.538915335561422
1994,S000046,126.5577,48.1882,,,,HEILONGJIANG,黑龙江省,assigned_by_nearest_city,YUGANG,14.930431248044323
1994,S000047,130.5536,44.6865,,,,HEILONGJIANG,黑龙江省,assigned_by_nearest_city,MULENG,25.934294125921774
1994,S000048,131.1384,44.4639,,,,HEILONGJIANG,黑龙江省,assigned_by_nearest_city,SUIFENHE,5.845657005196023
