year,station_id,station_name,province,degree_centrality,betweenness_centrality,closeness_centrality
1888,ST0045,天津市,天津市,1.0,0.0,0.04899559039686428
1888,ST0155,唐山市,河北省,1.0,1.0,0.07630675314765356
1888,ST0161,秦皇岛市,河北省,1.0,0.0,0.05289605924358635
1894,ST0045,天津市,天津市,0.5,0.0,0.02449779519843214
1894,ST0155,唐山市,河北省,0.5,0.16666666666666666,0.03815337657382678
1894,ST0161,秦皇岛市,河北省,0.5,0.0,0.026448029621793174
1894,ST0203,鄂州市,湖北省,0.25,0.0,0.008434547908232119
1894,ST0206,黄石市,湖北省,0.25,0.0,0.008434547908232119
1895,ST0019,北京市,北京市,0.3333333333333333,0.2,0.007219695328857121
1895,ST0045,天津市,天津市,0.5,0.26666666666666666,0.009953591380189863
1895,ST0155,唐山市,河北省,0.3333333333333333,0.2,0.009438859785737882
1895,ST0156,廊坊市,河北省,0.16666666666666666,0.0,0.0060341381365072895
1895,ST0161,秦皇岛市,河北省,0.3333333333333333,0.0,0.008403714441783268
1895,ST0203,鄂州市,湖北省,0.16666666666666666,0.0,0.005623031938821412
1895,ST0206,黄石市,湖北省,0.16666666666666666,0.0,0.005623031938821412
1901,ST0019,北京市,北京市,0.2222222222222222,0.08333333333333333,0.0048131302192380805
1901,ST0045,天津市,天津市,0.3333333333333333,0.1111111111111111,0.006635727586793242
1901,ST0155,唐山市,河北省,0.2222222222222222,0.08333333333333333,0.006292573190491922
1901,ST0156,廊坊市,河北省,0.1111111111111111,0.0,0.004022758757671526
1901,ST0161,秦皇岛市,河北省,0.2222222222222222,0.0,0.005602476294522179
1901,ST0203,鄂州市,湖北省,0.1111111111111111,0.0,0.0037486879592142745
1901,ST0206,黄石市,湖北省,0.1111111111111111,0.0,0.0037486879592142745
1901,ST0273,哈尔滨市,黑龙江省,0.1111111111111111,0.0,0.0007575972802257639
1901,ST0275,牡丹江市,黑龙江省,0.2222222222222222,0.027777777777777776,0.0014475131723698683
1901,ST0276,鸡西市,黑龙江省,0.1111111111111111,0.0,0.001328802118110576
1903,ST0013,呼伦贝尔市,内蒙古自治区,0.045454545454545456,0.0,0.0007783788592301835
1903,ST0019,北京市,北京市,0.09090909090909091,0.025974025974025976,0.0025031138736588314
1903,ST0021,四平市,吉林省,0.09090909090909091,0.21212121212121213,0.0011438321013211145
1903,ST0026,长春市,吉林省,0.09090909090909091,0.2077922077922078,0.0011201993314696112
1903,ST0045,天津市,天津市,0.13636363636363635,0.025974025974025976,0.0025031138736588314
1903,ST0154,保定市,河北省,0.045454545454545456,0.0,0.00152720626325615
1903,ST0155,唐山市,河北省,0.09090909090909091,0.017316017316017316,0.0023517459361830223
1903,ST0156,廊坊市,河北省,0.09090909090909091,0.017316017316017316,0.0022620503948635167
1903,ST0161,秦皇岛市,河北省,0.09090909090909091,0.0,0.002145701730293875
1903,ST0203,鄂州市,湖北省,0.045454545454545456,0.0,0.0015335541651331126
1903,ST0206,黄石市,湖北省,0.045454545454545456,0.0,0.0015335541651331126
1903,ST0244,大连市,辽宁省,0.045454545454545456,0.0,0.0007802993212271751
1903,ST0245,抚顺市,辽宁省,0.045454545454545456,0.0,0.0009815882097233323
1903,ST0248,沈阳市,辽宁省,0.13636363636363635,0.21212121212121213,0.0010253994584844533
1903,ST0250,营口市,辽宁省,0.13636363636363635,0.10822510822510822,0.0008498535173399168
1903,ST0252,辽阳市,辽宁省,0.09090909090909091,0.14285714285714285,0.0009349273399275602
1903,ST0253,铁岭市,辽宁省,0.09090909090909091,0.2077922077922078,0.0011130812143806913
1903,ST0256,鞍山市,辽宁省,0.045454545454545456,0.0,0.0008174062831185084
1903,ST0273,哈尔滨市,黑龙江省,0.13636363636363635,0.22077922077922077,0.0010166771360205077
1903,ST0274,大庆市,黑龙江省,0.09090909090909091,0.1038961038961039,0.000860346984962276
1903,ST0275,牡丹江市,黑龙江省,0.09090909090909091,0.05627705627705628,0.0007525421719257846
1903,ST0276,鸡西市,黑龙江省,0.045454545454545456,0.0,0.0007305377838987237
1903,ST0279,齐齐哈尔市,黑龙江省,0.09090909090909091,0.05627705627705628,0.0008521816938328569
1904,ST0013,呼伦贝尔市,内蒙古自治区,0.037037037037037035,0.0,0.0006342346260394087
1904,ST0019,北京市,北京市,0.07407407407407407,0.017094017094017096,0.0020395742674257145
1904,ST0021,四平市,吉林省,0.07407407407407407,0.1396011396011396,0.0009320113418172043
1904,ST0026,长春市,吉林省,0.07407407407407407,0.13675213675213677,0.0009127550108270906
