station_id,station_name,province,latitude,longitude
ST0001,上海市,上海市,31.23,121.48
ST0002,临沧市,云南省,23.83,100.05
ST0003,丽江市,云南省,26.879999,100.23
ST0004,保山市,云南省,25.1,99.169998
ST0005,思茅市,云南省,23.4,101.68
ST0006,昆明市,云南省,25.049999,102.73
ST0007,昭通市,云南省,27.290001,103.72
ST0008,曲靖市,云南省,25.450001,103.78
ST0009,玉溪市,云南省,24.33,102.51
ST0010,乌兰察布市,内蒙古自治区,40.98,113.12
ST0011,乌海市,内蒙古自治区,39.650002,106.83
ST0012,包头市,内蒙古自治区,40.650002,109.83
ST0013,呼伦贝尔市,内蒙古自治区,49.240002,119.77
ST0014,呼和浩特市,内蒙古自治区,40.830002,111.73
ST0015,巴彦淖尔市,内蒙古自治区,40.75,107.42
ST0016,赤峰市,内蒙古自治区,42.27,118.92
ST0017,通辽市,内蒙古自治区,43.610001,122.29
ST0018,鄂尔多斯市,内蒙古自治区,39.700001,109.83
ST0019,北京市,北京市,39.93,116.42
ST0020,吉林市,吉林省,43.849998,126.51
ST0021,四平市,吉林省,43.169998,124.35
ST0022,白城市,吉林省,45.619999,122.83
ST0023,白山市,吉林省,41.91,126.44
ST0024,辽源市,吉林省,42.880001,125.13
ST0025,通化市,吉林省,41.73,125.93
ST0026,长春市,吉林省,43.900002,125.32
ST0027,乐山市,四川省,29.58,103.72
ST0028,内江市,四川省,29.549999,105.03
ST0029,南充市,四川省,30.85,106.05
ST0030,宜宾市,四川省,28.790001,104.6
ST0031,巴中市,四川省,31.83,106.68
ST0032,广元市,四川省,32.400002,105.86
ST0033,广安市,四川省,30.469999,106.63
ST0034,德阳市,四川省,31.129999,104.38
ST0035,成都市,四川省,30.67,104.07
ST0036,攀枝花市,四川省,26.540001,101.7
ST0037,泸州市,四川省,28.870001,105.37
ST0038,眉山市,四川省,30.049999,103.83
ST0039,绵阳市,四川省,31.41,104.72
ST0040,自贡市,四川省,29.35,104.78
ST0041,资阳市,四川省,30.120001,104.65
ST0042,达州市,四川省,31.25,107.47
ST0043,遂宁市,四川省,30.469999,105.55
ST0044,雅安市,四川省,29.940001,102.93
ST0045,天津市,天津市,39.119999,117.2
ST0046,中卫市,宁夏回族自治区,37.52,105.23
ST0047,吴忠市,宁夏回族自治区,37.98,106.23
ST0048,固原市,宁夏回族自治区,36.049999,106.26
ST0049,石嘴山市,宁夏回族自治区,39.0,106.4
ST0050,银川市,宁夏回族自治区,38.439999,106.3
ST0051,六安市,安徽省,31.719999,116.5
ST0052,合肥市,安徽省,31.83,117.25
ST0053,安庆市,安徽省,30.530001,117.05
ST0054,宣城市,安徽省,30.91,118.73
ST0055,宿州市,安徽省,33.599998,116.96
ST0056,毫州市,安徽省,33.849998,115.78
ST0057,池州市,安徽省,30.290001,117.48
ST0058,淮北市,安徽省,33.950001,116.8
ST0059,淮南市,安徽省,32.599998,116.97
ST0060,滁州市,安徽省,32.299999,118.32
ST0061,芜湖市,安徽省,31.33,118.38
ST0062,蚌埠市,安徽省,32.900002,117.38
ST0063,铜陵市,安徽省,30.879999,117.82
ST0064,阜阳市,安徽省,32.900002,115.82
ST0065,马鞍山市,安徽省,31.700001,118.5
ST0066,黄山市,安徽省,29.719999,118.33
ST0067,东营市,山东省,37.43,118.67
ST0068,临沂市,山东省,35.049999,118.35
ST0069,威海市,山东省,37.52,122.12
ST0070,德州市,山东省,37.450001,116.3
ST0071,日照市,山东省,35.419998,119.52
