edge_id,start_station,end_station,length,year,type
1,天津市,唐山市,71.98,1888.0,rail_both
2,天津市,唐山市,14.61,1888.0,rail_both
3,天津市,秦皇岛市,349.58,1888.0,rail_both
4,唐山市,天津市,28.64,1888.0,rail_both
5,唐山市,秦皇岛市,11.6,1888.0,rail_both
6,鄂州市,黄石市,29.64,1894.0,rail_good
7,北京市,天津市,101.45,1895.0,rail_both
8,北京市,廊坊市,24.19,1895.0,rail_both
9,哈尔滨市,牡丹江市,279.61,1901.0,rail_both
10,牡丹江市,鸡西市,27.43,1901.0,rail_both
11,牡丹江市,鸡西市,92.67,1901.0,rail_both
12,牡丹江市,鸡西市,63.72,1901.0,rail_both
13,大连市,营口市,71.88,1903.0,rail_both
14,大连市,营口市,702.53,1903.0,rail_both
15,大连市,营口市,143.38,1903.0,rail_both
16,营口市,辽阳市,105.99,1903.0,rail_both
17,四平市,长春市,164.32,1903.0,rail_both
18,沈阳市,抚顺市,52.54,1903.0,rail_both
19,沈阳市,抚顺市,29.83,1903.0,rail_both
20,辽阳市,沈阳市,120.11,1903.0,rail_both
21,铁岭市,四平市,215.18,1903.0,rail_both
22,长春市,哈尔滨市,269.94,1903.0,rail_both
23,哈尔滨市,大庆市,272.57,1903.0,rail_both
24,沈阳市,铁岭市,228.14,1903.0,rail_both
25,呼伦贝尔市,齐齐哈尔市,217.79,1903.0,rail_both
26,呼伦贝尔市,齐齐哈尔市,76.25,1903.0,rail_both
27,呼伦贝尔市,齐齐哈尔市,119.1,1903.0,rail_both
28,呼伦贝尔市,齐齐哈尔市,238.1,1903.0,rail_both
29,齐齐哈尔市,大庆市,15.95,1903.0,rail_both
30,齐齐哈尔市,大庆市,9.02,1903.0,rail_both
31,齐齐哈尔市,大庆市,102.02,1903.0,rail_both
32,大庆市,哈尔滨市,176.92,1903.0,rail_both
33,营口市,鞍山市,32.01,1903.0,rail_both
34,保定市,廊坊市,60.43,1903.0,rail_both
35,淄博市,莱芜市,553.15,1904.0,rail_both
36,淄博市,潍坊市,25.07,1904.0,rail_both
37,淄博市,青岛市,169.99,1904.0,rail_both
38,济南市,淄博市,104.79,1904.0,rail_both
39,焦作市,新乡市,74.27,1905.0,rail_both
40,株洲市,萍乡市,35.58,1905.0,rail_both
41,萍乡市,新余市,141.86,1905.0,rail_both
42,新余市,南昌市,88.9,1905.0,rail_both
43,南昌市,抚州市,53.3,1905.0,rail_both
44,抚州市,南昌市,28.83,1905.0,rail_both
45,南昌市,鹰潭市,106.86,1905.0,rail_both
46,鹰潭市,绍兴市,705.93,1905.0,rail_both
47,杭州市,绍兴市,75.52,1905.0,rail_both
48,南昌市,抚州市,32.96,1905.0,rail_both
49,衡阳市,萍乡市,3380.5,1905.0,rail_both
50,沈阳市,本溪市,51.38,1905.0,rail_both
51,本溪市,丹东市,119.77,1905.0,rail_both
52,丹东市,本溪市,94.96,1905.0,rail_both
53,丹东市,本溪市,85.81,1905.0,rail_both
54,杭州市,上海市,345.23,1906.0,rail_both
55,秦皇岛市,葫芦岛市,193.25,1907.0,rail_both
56,葫芦岛市,锦州市,107.97,1907.0,rail_both
57,锦州市,盘锦市,51.23,1907.0,rail_both
58,盘锦市,阜新市,49.72,1907.0,rail_both
59,盘锦市,沈阳市,98.62,1907.0,rail_both
60,沈阳市,抚顺市,41.63,1907.0,rail_both
61,昆明市,玉溪市,3610.56,1910.0,rail_both
62,玉溪市,思茅市,448.1,1910.0,rail_both
63,玉溪市,思茅市,11.73,1910.0,rail_both
64,长春市,吉林市,122.78,1912.0,rail_both
65,吉林市,长春市,75.59,1912.0,rail_both
66,牡丹江市,鸡西市,171.74,1912.0,rail_both
67,广州市,深圳市,294.65,1911.0,rail_both
68,德州市,沧州市,202.12,1912.0,rail_both
69,德州市,济南市,124.26,1912.0,rail_both
70,宿州市,蚌埠市,239.42,1912.0,rail_both
71,宿州市,徐州市,128.77,1912.0,rail_both
72,济宁市,徐州市,6003.49,1912.0,rail_both
73,济宁市,泰安市,343.27,1912.0,rail_both
74,泰安市,莱芜市,111.02,1912.0,rail_both
75,济南市,泰安市,1351.3,1912.0,rail_both
76,天津市,廊坊市,2359.8,1912.0,rail_both
77,蚌埠市,南京市,184.45,1912.0,rail_both
78,枣庄市,临沂市,28.87,1912.0,rail_both
79,绍兴市,宁波市,173.86,1914.0,rail_both
80,九江市,南昌市,1220.52,1916.0,rail_both
81,玉溪市,思茅市,51.3,1910.0,rail_both
82,玉溪市,思茅市,116.8,1921.0,rail pass
83,包头市,鄂尔多斯市,32.27,1923.0,rail_both
84,包头市,乌兰察布市,303.64,1923.0,rail_both
85,大同市,张家口市,258.03,1923.0,rail_both
86,张家口市,北京市,47.29,1923.0,rail_both
87,张家口市,北京市,5.02,1923.0,rail_both
88,北京市,廊坊市,64.98,1923.0,rail_both
89,北京市,廊坊市,8.34,1923.0,rail_both
90,北京市,廊坊市,35.89,1923.0,rail_both
91,乌兰察布市,大同市,1384.1,1923.0,rail_both
92,沈阳市,抚顺市,66.84,1923.0,rail_both
93,鸡西市,七台河市,790.95,1925.0,rail_both
94,阜新市,沈阳市,1315.36,1927.0,rail_both
95,通辽市,四平市,97.09,1927.0,rail_both
96,通辽市,阜新市,5782.57,1927.0,rail_both
97,白城市,大庆市,345.27,1927.0,rail_both
98,沈阳市,抚顺市,41.58,1927.0,rail_both
99,抚顺市,辽源市,210.97,1927.0,rail_both
100,辽源市,通化市,4.54,1927.0,rail_both
101,辽源市,白山市,2702.86,1927.0,rail_both
102,吉林市,长春市,443.32,1927.0,rail_both
103,大连市,营口市,156.64,1927.0,rail_both
104,鹤岗市,佳木斯市,1792.48,1927.0,rail_both
105,白城市,通辽市,633.4,1928.0,rail_both
