year,connection_type,new_connections,new_length_km
1888,non_core,5,476.41
1894,non_core,1,29.64
1895,core_other,1,24.19
1895,core_port_short,1,101.45
1901,core_other,1,279.61
1901,non_core,3,183.82
1903,core_core_long,1,269.94
1903,core_other,5,962.06
1903,core_port_short,2,82.37
1903,non_core,14,2109.63
1904,core_other,1,104.79
1904,non_core,3,748.21
1905,core_other,6,386.37
1905,core_port_short,1,51.38
1905,non_core,8,4638.68
1906,core_port_long,1,345.23
1907,core_port_short,2,140.25
1907,non_core,4,402.17
1910,core_other,1,3610.56
1910,non_core,3,511.13
1911,core_port_long,1,294.65
1912,core_other,5,1858.38
1912,non_core,9,9588.5
1914,non_core,1,173.86
1916,core_other,1,1220.52
1921,non_core,1,116.8
1923,core_other,5,161.52
1923,core_port_short,1,66.84
1923,non_core,4,1978.04
1925,non_core,1,790.95
1927,core_other,2,1758.6799999999998
1927,core_port_short,1,41.58
1927,non_core,8,11092.42
1928,core_port_long,1,307.72
1928,non_core,5,1820.75
1929,core_other,2,1807.32
1929,non_core,1,26.81
1933,non_core,5,391.77
1934,core_other,2,3823.96
1934,non_core,1,241.08
1935,core_other,1,416.01
1935,non_core,5,1041.04
1936,non_core,8,1747.31
1937,non_core,5,5640.15
1938,core_other,2,101.88
1938,non_core,1,89.68
1939,non_core,2,3858.5099999999998
1940,core_other,1,77.71
1940,non_core,4,759.24
1941,core_other,3,1222.1599999999999
1941,non_core,5,708.02
1942,non_core,7,470.34
1943,core_other,1,47.53
1944,core_other,1,40.23
1945,non_core,2,16653.24
1947,non_core,3,140.95
1950,non_core,1,171.29
1951,non_core,10,3876.57
1952,core_other,4,3615.76
1952,non_core,12,1261.89
1955,core_other,4,1038.48
1955,non_core,6,8705.6
1956,core_other,1,50.58
1956,non_core,4,2959.56
1957,core_core_long,1,367.98
1957,core_other,8,29459.07
1957,non_core,14,65951.56999999999
1958,core_other,4,2923.01
1958,non_core,13,7268.360000000001
1959,core_other,4,314.88
1959,non_core,8,5725.21
1960,core_other,5,442.79
1960,non_core,7,2772.38
1961,non_core,1,65.5
1962,core_other,3,3855.54
1962,non_core,5,591.8299999999999
1963,non_core,2,11892.48
1964,core_other,1,52.11
1964,non_core,1,42.8
1965,non_core,8,23705.57
1966,core_other,3,1090.23
1966,non_core,12,10851.86
1968,core_other,1,51.43
1968,non_core,3,228.92
1970,non_core,6,1332.1200000000001
1971,core_core_long,1,92236.69
1971,core_other,2,349.5
1971,non_core,10,896.15
1972,non_core,14,5499.09
1973,core_other,2,437.55
1973,non_core,2,55.489999999999995
1974,non_core,2,277.2
1975,core_other,3,153.29
1975,non_core,13,1860.4299999999998
1976,non_core,6,6035.25
1977,core_other,4,684.11
1977,non_core,5,2416.8
1978,non_core,7,31806.2
1979,non_core,5,9051.65
1980,non_core,6,1514.82
1982,non_core,4,10437.59
1983,non_core,2,124.21000000000001
1984,core_other,1,5383.03
1984,non_core,9,5626.29
1985,non_core,7,12854.99
1986,non_core,5,6778.68
1987,core_other,1,306.41
1988,non_core,2,2227.13
1989,core_other,1,159.6
1989,non_core,6,3629.72
1990,core_other,2,1077.81
1990,non_core,1,33.15
1991,core_other,2,7733.4
1991,non_core,4,304.14
1992,core_other,2,101.56
1992,non_core,6,739.12
1993,core_other,2,671.48
1993,non_core,4,279.35
1994,core_other,4,1675.95
1994,non_core,20,21480.859999999997
1995,core_other,1,6101.4
1995,non_core,21,52822.22
1996,non_core,6,921.63
1997,core_other,7,965.97
1997,non_core,8,7085.3
1998,core_other,3,818.71
1998,non_core,1,60.81
1999,core_other,2,1124.3999999999999
1999,non_core,1,195.89
2000,core_other,2,3780.96
2000,non_core,4,1180.68
2001,core_other,2,341.82
2001,non_core,11,46459.54
2002,core_other,1,357.03
2002,non_core,5,23952.06
2003,core_other,2,378.90000000000003
2003,core_port_short,1,162.62
2003,non_core,12,6989.87
2004,non_core,1,66.67
2005,core_other,1,283.34
2005,non_core,5,26331.34
2006,non_core,10,6349.32
2007,non_core,2,717.44
2008,core_core_short,1,133.6
2008,core_other,3,413.35999999999996
2008,core_port_long,1,300.6
2008,non_core,2,362.23
2009,core_other,7,2631.2400000000002
2009,non_core,10,401096.17
2010,core_core_long,1,487.95
2010,core_other,2,3046.0499999999997
2010,core_port_long,1,1564.08
2010,core_port_short,1,164.29
2010,non_core,11,27520.08
2011,core_other,4,20517.48
2011,non_core,7,26183.04
2012,core_core_long,2,730.0799999999999
2012,core_other,5,31052.93
2012,non_core,6,2399.5099999999998
2013,core_other,3,2412.66
2013,non_core,8,2439.58
2014,core_core_long,1,3412.66
2014,core_other,5,963.01
2014,non_core,17,13942.949999999999
2015,core_core_long,2,1284.37
2015,core_other,9,39509.63
2015,core_port_long,1,2497.05
2015,non_core,17,14106.99
2016,core_core_long,1,1240.96
2016,core_other,2,927.96
2016,non_core,1,417.93
2017,core_core_long,3,1584.8899999999999
2017,core_other,1,206.45
2018,core_other,4,970.44
2018,non_core,1,57.5
2019,non_core,2,242.54000000000002
2021,core_core_long,1,1083.5
2024,core_other,1,345.05
