year,station_count,total_length_km,high_speed_length_km,station_growth,length_growth_km,high_speed_growth_km
1888,3,476.40999999999997,0.0,3.0,476.40999999999997,0.0
1894,5,506.04999999999995,0.0,2.0,29.639999999999986,0.0
1895,7,631.6899999999999,0.0,2.0,125.63999999999999,0.0
1901,10,1095.12,0.0,3.0,463.42999999999995,0.0
1903,23,4519.119999999999,0.0,13.0,3423.999999999999,0.0
1904,28,5372.119999999999,0.0,5.0,853.0,0.0
1905,41,10448.55,0.0,13.0,5076.43,0.0
1906,42,10793.779999999999,0.0,1.0,345.22999999999956,0.0
1907,46,11336.199999999999,0.0,4.0,542.4200000000001,0.0
1910,49,15457.89,0.0,3.0,4121.6900000000005,0.0
1911,51,15752.539999999999,0.0,2.0,294.64999999999964,0.0
1912,62,27199.42,0.0,11.0,11446.88,0.0
1914,63,27373.28,0.0,1.0,173.86000000000058,0.0
1916,64,28593.8,0.0,1.0,1220.5200000000004,0.0
1921,64,28710.6,116.8,0.0,116.79999999999927,116.8
1923,69,30917.0,116.8,5.0,2206.4000000000015,0.0
1925,70,31707.95,116.8,1.0,790.9500000000007,0.0
1927,77,44600.630000000005,116.8,7.0,12892.680000000004,0.0
1928,77,46729.100000000006,116.8,0.0,2128.470000000001,0.0
1929,80,48563.23,116.8,3.0,1834.1299999999974,0.0
1933,80,48955.0,116.8,0.0,391.7699999999968,0.0
1934,80,53020.04,116.8,0.0,4065.040000000001,0.0
1935,86,54477.090000000004,116.8,6.0,1457.050000000003,0.0
1936,87,56224.4,116.8,1.0,1747.3099999999977,0.0
1937,87,61864.55,116.8,0.0,5640.1500000000015,0.0
1938,89,62056.11,116.8,2.0,191.55999999999767,0.0
1939,89,65914.62,116.8,0.0,3858.5099999999948,0.0
1940,89,66751.56999999999,116.8,0.0,836.9499999999971,0.0
1941,91,68681.74999999999,116.8,2.0,1930.179999999993,0.0
1942,94,69152.08999999998,116.8,3.0,470.3399999999965,0.0
1943,94,69199.61999999998,116.8,0.0,47.529999999998836,0.0
1944,94,69239.84999999998,116.8,0.0,40.229999999995925,0.0
1945,94,85893.08999999998,116.8,0.0,16653.240000000005,0.0
1947,94,86034.03999999998,116.8,0.0,140.9499999999971,0.0
1950,94,86205.32999999997,116.8,0.0,171.2899999999936,0.0
1951,98,90081.89999999997,116.8,4.0,3876.5699999999924,0.0
1952,111,94959.54999999996,116.8,13.0,4877.649999999994,0.0
1955,118,104703.62999999996,116.8,7.0,9744.080000000002,0.0
1956,122,107713.76999999996,116.8,4.0,3010.1399999999994,0.0
1957,136,203492.38999999996,116.8,14.0,95778.62,0.0
1958,145,213683.75999999995,116.8,9.0,10191.369999999995,0.0
1959,149,219723.84999999995,116.8,4.0,6040.0899999999965,0.0
1960,155,222939.01999999996,683.64,6.0,3215.170000000013,566.84
1961,155,223004.51999999996,683.64,0.0,65.5,0.0
1962,158,227451.88999999996,683.64,3.0,4447.369999999995,0.0
1963,159,239344.36999999997,683.64,1.0,11892.48000000001,0.0
1964,160,239439.27999999997,735.75,1.0,94.91000000000349,52.110000000000014
1965,161,263144.85,939.95,1.0,23705.570000000007,204.20000000000005
1966,166,275086.94,1012.6400000000001,5.0,11942.090000000026,72.69000000000005
1968,166,275367.29,1012.6400000000001,0.0,280.3499999999767,0.0
1970,171,276699.41,1012.6400000000001,5.0,1332.1199999999953,0.0
1971,173,370181.75,1012.6400000000001,2.0,93482.34000000003,0.0
1972,177,375680.84,1012.6400000000001,4.0,5499.090000000026,0.0
1973,180,376173.88,1012.6400000000001,3.0,493.03999999997905,0.0
1974,181,376451.08,1220.23,1.0,277.20000000001164,207.58999999999992
1975,183,378464.8,1220.23,2.0,2013.719999999972,0.0
1976,185,384500.05,1220.23,2.0,6035.25,0.0
1977,185,387600.95999999996,1220.23,0.0,3100.9099999999744,0.0
1978,185,419407.16,1220.23,0.0,31806.20000000001,0.0
1979,186,428458.81,1220.23,1.0,9051.650000000023,0.0
1980,187,429973.63,1220.23,1.0,1514.820000000007,0.0
1982,189,440411.22000000003,1220.23,2.0,10437.590000000026,0.0
1983,189,440535.43000000005,1220.23,0.0,124.21000000002095,0.0
1984,190,451544.75000000006,1220.23,1.0,11009.320000000007,0.0
1985,194,464399.74000000005,1220.23,4.0,12854.98999999999,0.0
1986,197,471178.42000000004,1220.23,3.0,6778.679999999993,0.0
1987,197,471484.83,1220.23,0.0,306.4099999999744,0.0
1988,197,473711.96,1220.23,0.0,2227.1300000000047,0.0
1989,200,477501.28,1220.23,3.0,3789.320000000007,0.0
1990,200,478612.24000000005,1220.23,0.0,1110.960000000021,0.0
1991,203,486649.78,1220.23,3.0,8037.539999999979,0.0
1992,203,487490.46,1220.23,0.0,840.679999999993,0.0
1993,204,488441.29000000004,1220.23,1.0,950.8300000000163,0.0
1994,209,511598.10000000003,1273.4,5.0,23156.809999999998,53.17000000000007
1995,219,570521.7200000001,1273.4,10.0,58923.62000000005,0.0
1996,219,571443.3500000001,1273.4,0.0,921.6300000000047,0.0
1997,224,579494.6200000001,1273.4,5.0,8051.270000000019,0.0
1998,226,580374.1400000001,1273.4,2.0,879.5200000000186,0.0
1999,226,581694.4300000002,1273.4,0.0,1320.2900000000373,0.0
2000,230,586656.0700000002,1273.4,4.0,4961.640000000014,0.0
2001,236,633457.4300000002,1273.4,6.0,46801.359999999986,0.0
2002,237,657766.5200000001,1273.4,1.0,24309.089999999967,0.0
2003,237,665297.9100000001,3452.9900000000002,0.0,7531.390000000014,2179.59
2004,238,665364.5800000002,3452.9900000000002,1.0,66.67000000004191,0.0
2005,238,691979.2600000002,3452.9900000000002,0.0,26614.68000000005,0.0
2006,241,698328.5800000002,3585.69,3.0,6349.319999999949,132.69999999999982
2007,241,699046.0200000001,3585.69,0.0,717.4399999999441,0.0
2008,241,700255.8100000002,4348.4,0.0,1209.7900000000373,762.7099999999996
2009,243,1103983.2200000002,369286.18000000005,2.0,403727.41000000003,364937.78
2010,247,1136765.6700000002,374279.16000000003,4.0,32782.44999999995,4992.979999999981
2011,249,1183466.1900000002,417888.08,2.0,46700.52000000002,43608.919999999984
2012,249,1217648.7100000002,441094.2,0.0,34182.52000000002,23206.119999999995
